road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
urban,3,0.4257,35,night,clear,False,True,morning,False,False,5,0.4177
urban,2,0.1843,60,night,clear,False,True,morning,False,False,7,0.3575
urban,4,0.5889,25,daylight,clear,True,True,afternoon,False,False,4,0.2855
urban,3,0.4438,60,daylight,clear,True,True,afternoon,False,True,3,0.2634
highway,2,0.4002,45,daylight,clear,True,True,afternoon,False,False,4,0.2148
urban,6,0.0848,60,daylight,rainy,True,True,morning,True,False,0,0.2572
urban,1,0.3344,35,dim,foggy,True,True,morning,False,False,7,0.243
rural,1,0.1861,45,daylight,clear,False,True,afternoon,False,False,3,0.3008
urban,3,0.4631,70,daylight,clear,True,True,afternoon,False,False,0,0.2302
highway,1,0.2578,25,daylight,clear,True,True,morning,False,False,10,0.2549
urban,3,0.2858,35,night,rainy,True,True,afternoon,False,True,3,0.3082
highway,1,0.1726,60,daylight,rainy,True,True,evening,False,False,9,0.5021
rural,1,0.3284,45,dim,clear,True,True,afternoon,False,True,3,0.3227
urban,4,0.1119,70,dim,clear,True,True,morning,False,False,8,0.2815
urban,4,0.3902,45,daylight,clear,True,True,evening,False,True,0,0.24
highway,1,0.5451,45,daylight,clear,True,True,evening,False,False,6,0.3077
rural,4,0.3709,45,night,rainy,True,True,afternoon,False,True,5,0.4739
rural,3,0.5323,60,night,foggy,False,True,evening,False,False,10,0.6146
rural,5,0.4889,70,daylight,clear,True,False,afternoon,False,False,0,0.2752
urban,3,0.5997,35,daylight,foggy,True,True,morning,False,True,1,0.252
urban,4,0.1605,45,dim,clear,True,True,morning,False,False,5,0.1193
urban,2,0.0374,25,dim,clear,False,True,afternoon,False,False,3,0.2021
highway,1,0.211,70,daylight,foggy,True,True,afternoon,True,True,1,0.3621
rural,4,0.3057,45,dim,rainy,True,False,morning,False,False,4,0.3556
urban,6,0.356,45,daylight,rainy,True,False,evening,False,True,2,0.3746
urban,6,0.0668,45,daylight,rainy,True,True,evening,False,False,0,0.1673
urban,4,0.6396,35,dim,clear,True,False,afternoon,False,False,9,0.2803
urban,4,0.2479,25,night,clear,False,True,evening,False,True,6,0.3991
rural,6,0.0552,35,night,clear,True,True,morning,False,True,3,0.3096
rural,3,0.4052,45,dim,rainy,True,True,morning,False,True,6,0.4497
highway,1,0.367,60,daylight,clear,True,True,afternoon,False,False,4,0.2875
rural,5,0.0616,45,dim,clear,False,True,afternoon,False,True,6,0.4191
urban,6,0.1236,45,daylight,rainy,True,True,evening,False,True,3,0.3084
rural,6,0.6201,45,daylight,foggy,True,True,afternoon,False,False,2,0.3811
rural,6,0.3858,60,night,clear,True,True,morning,False,True,6,0.4779
rural,4,0.3149,45,night,foggy,False,True,afternoon,False,False,7,0.5251
rural,2,0.4535,70,daylight,clear,True,True,morning,False,False,3,0.2819
rural,6,0.3091,45,daylight,clear,True,False,afternoon,False,True,7,0.3731
rural,1,0.4243,60,daylight,clear,True,True,afternoon,False,False,10,0.3775
urban,5,0.1665,60,night,rainy,True,True,morning,False,False,6,0.3851
urban,6,0.0941,35,dim,clear,True,True,afternoon,False,False,0,0.1975
urban,2,0.0743,60,daylight,clear,True,True,morning,False,False,2,0.1155
urban,6,0.07,45,daylight,clear,True,True,evening,False,True,9,0.2918
rural,5,0.2424,45,daylight,foggy,True,True,afternoon,False,True,2,0.3769
urban,5,0.2528,25,night,rainy,True,True,afternoon,False,False,8,0.3234
rural,6,0.1826,45,daylight,clear,True,True,afternoon,False,False,5,0.2558
highway,1,0.2058,35,daylight,clear,True,False,afternoon,False,True,8,0.3041
urban,3,0.2661,45,dim,clear,True,False,afternoon,False,False,7,0.2581
urban,2,0.2249,35,dim,rainy,True,True,afternoon,True,False,9,0.3102
rural,6,0.1724,45,night,foggy,True,True,evening,False,False,2,0.4613
urban,4,0.0676,45,daylight,clear,True,False,afternoon,False,False,10,0.1954
urban,5,0.0594,35,daylight,clear,True,True,afternoon,False,False,7,0.1638
urban,2,0.0695,35,daylight,rainy,False,True,morning,True,False,1,0.2139
urban,1,0.1755,25,dim,clear,True,True,morning,False,False,5,0.1447
highway,2,0.2906,35,night,clear,True,True,morning,False,False,10,0.3981
highway,4,0.2258,25,daylight,rainy,False,True,morning,False,False,9,0.4016
rural,4,0.4548,25,daylight,rainy,True,True,evening,False,False,3,0.3362
highway,1,0.1941,45,dim,rainy,True,False,afternoon,False,False,10,0.3772
highway,2,0.1539,45,dim,clear,False,True,afternoon,False,True,3,0.3573
urban,6,0.0732,35,daylight,clear,True,True,evening,False,True,6,0.2686
highway,3,0.3097,35,daylight,rainy,False,True,afternoon,False,False,4,0.3728
rural,3,0.3421,45,daylight,clear,True,True,afternoon,False,True,3,0.263
highway,6,0.3003,45,night,clear,True,True,morning,False,True,8,0.4411
highway,5,0.2259,35,dim,clear,True,False,evening,False,True,9,0.445
urban,6,0.391,60,night,clear,True,True,afternoon,False,True,10,0.4246
urban,5,0.4776,70,dim,clear,False,True,afternoon,False,False,10,0.4264
urban,2,0.3268,35,night,clear,True,True,afternoon,True,True,6,0.3242
urban,6,0.2776,70,daylight,clear,True,False,morning,False,False,2,0.2105
highway,5,0.0208,60,daylight,foggy,False,True,afternoon,False,False,4,0.3857
highway,4,0.3842,45,daylight,clear,False,False,afternoon,False,False,4,0.3704
urban,1,0.3703,60,daylight,clear,True,False,afternoon,False,False,3,0.229
rural,5,0.0232,35,daylight,clear,True,False,afternoon,True,True,9,0.3165
urban,6,0.0566,35,daylight,rainy,True,True,morning,False,False,8,0.2401
urban,3,0.2487,35,dim,rainy,True,True,morning,False,True,7,0.284
urban,6,0.1435,45,daylight,rainy,True,True,afternoon,False,True,9,0.2846
urban,4,0.2886,60,daylight,clear,True,True,afternoon,False,True,5,0.2107
highway,3,0.4777,35,dim,clear,True,True,morning,False,False,2,0.2959
urban,5,0.3729,35,daylight,rainy,True,True,afternoon,False,True,5,0.283
rural,6,0.0517,25,dim,rainy,True,True,afternoon,False,True,8,0.3917
rural,5,0.4148,35,daylight,rainy,True,True,morning,False,False,5,0.3318
urban,4,0.1355,45,dim,foggy,True,True,evening,False,False,8,0.4057
highway,3,0.317,25,dim,rainy,True,True,afternoon,False,False,9,0.3756
highway,1,0.1492,60,daylight,clear,True,True,morning,False,False,9,0.3154
urban,1,0.0702,45,daylight,clear,True,True,morning,False,False,0,0.1159
rural,4,0.5123,25,night,foggy,True,False,morning,False,True,6,0.4411
urban,6,0.4359,45,daylight,rainy,True,True,morning,False,True,9,0.3904
urban,5,0.0854,60,daylight,clear,False,False,morning,False,True,4,0.2541
urban,6,0.2063,60,daylight,clear,True,True,evening,False,False,7,0.2886
rural,4,0.107,60,dim,rainy,True,False,afternoon,False,True,1,0.3062
rural,3,0.3473,45,night,clear,False,True,afternoon,False,False,6,0.4088
urban,1,0.1541,70,daylight,clear,True,True,afternoon,False,False,6,0.2491
urban,5,0.2575,70,daylight,foggy,True,True,afternoon,False,True,4,0.3772
highway,3,0.6552,45,night,clear,True,True,morning,False,False,10,0.507
urban,1,0.0683,45,daylight,rainy,True,True,evening,False,False,4,0.2314
urban,1,0.4083,45,daylight,clear,True,True,morning,True,True,1,0.2158
rural,2,0.1976,45,night,foggy,True,False,morning,False,False,4,0.4243
highway,5,0.2056,45,daylight,clear,True,False,afternoon,False,True,5,0.34
urban,4,0.2639,60,night,clear,True,True,morning,False,True,8,0.3777
rural,2,0.2209,25,night,foggy,True,True,evening,False,True,9,0.4835
rural,1,0.2002,45,night,foggy,False,True,afternoon,False,False,3,0.4046
urban,5,0.3163,35,daylight,clear,True,False,morning,False,True,2,0.1606
rural,5,0.4519,35,night,clear,True,True,evening,False,False,0,0.3836
urban,2,0.1984,60,night,clear,True,True,morning,False,False,6,0.2594
rural,3,0.4631,45,daylight,foggy,True,True,evening,False,False,4,0.4527
rural,3,0.3278,25,night,clear,True,True,afternoon,False,False,10,0.3627
rural,4,0.1923,25,daylight,clear,True,True,evening,False,True,9,0.4158
urban,5,0.1516,35,night,clear,True,False,evening,False,False,10,0.3399
highway,6,0.1038,45,daylight,clear,False,True,afternoon,False,False,0,0.2848
urban,2,0.2013,25,night,foggy,True,True,morning,False,True,5,0.4292
urban,1,0.1393,45,daylight,clear,True,True,morning,False,True,6,0.2129
urban,3,0.3921,60,daylight,clear,True,True,afternoon,False,False,6,0.2719
rural,2,0.5524,60,dim,clear,True,True,afternoon,False,False,9,0.4266
rural,4,0.4113,70,daylight,clear,True,True,afternoon,False,False,3,0.2701
urban,4,0.1647,35,daylight,clear,True,True,afternoon,False,False,2,0.1254
rural,6,0.3939,35,dim,clear,True,True,evening,False,True,3,0.3473
urban,5,0.1702,25,night,rainy,False,True,morning,False,False,6,0.376
rural,4,0.1222,35,dim,rainy,True,True,morning,False,True,1,0.3368
urban,4,0.1266,70,dim,clear,True,True,evening,False,True,1,0.3218
rural,6,0.5238,35,dim,rainy,True,True,evening,True,False,7,0.5903
urban,6,0.2248,45,daylight,rainy,True,True,evening,False,False,9,0.3697
highway,3,0.2162,45,night,rainy,False,True,morning,False,True,6,0.4874
urban,3,0.1691,35,daylight,clear,True,True,morning,False,True,8,0.2979
urban,4,0.5852,45,daylight,clear,False,True,morning,False,True,1,0.268
urban,6,0.1332,60,daylight,clear,False,True,morning,False,False,10,0.372
highway,5,0.7197,45,daylight,clear,True,False,afternoon,False,True,5,0.3929
highway,3,0.2829,60,daylight,rainy,True,True,morning,False,False,2,0.3741
urban,3,0.2182,45,daylight,rainy,True,True,afternoon,False,True,6,0.2904
rural,6,0.2321,60,night,rainy,True,True,evening,False,True,5,0.5872
highway,4,0.0149,35,dim,clear,False,True,afternoon,False,False,2,0.3094
rural,5,0.2777,60,daylight,clear,True,False,afternoon,True,True,1,0.348
rural,4,0.2847,45,daylight,rainy,False,False,afternoon,False,True,0,0.3289
urban,1,0.1369,25,daylight,clear,True,True,morning,False,True,1,0.1839
urban,1,0.7796,45,daylight,rainy,False,True,morning,True,False,1,0.3329
highway,6,0.4396,45,daylight,clear,True,True,afternoon,False,False,10,0.3989
highway,5,0.1216,45,dim,rainy,True,True,afternoon,False,False,7,0.4095
rural,1,0.1676,35,night,rainy,True,True,evening,False,False,6,0.4533
urban,6,0.4223,45,daylight,clear,True,True,morning,False,False,8,0.2518
urban,5,0.3922,45,daylight,clear,False,True,afternoon,False,True,6,0.2537
rural,1,0.1367,45,daylight,clear,False,True,afternoon,False,False,6,0.3465
highway,2,0.2184,60,daylight,clear,False,True,evening,False,True,0,0.4217
highway,3,0.2077,25,dim,rainy,False,True,afternoon,False,False,1,0.3005
rural,6,0.3883,45,dim,foggy,True,True,evening,False,True,9,0.5029
rural,4,0.0972,70,night,clear,True,True,afternoon,False,True,8,0.4857
urban,5,0.3084,45,daylight,foggy,True,True,morning,False,True,10,0.3427
urban,1,0.5161,45,dim,clear,True,True,morning,False,True,3,0.2836
highway,2,0.1899,70,dim,clear,True,True,morning,False,True,5,0.2991
rural,1,0.2145,35,daylight,rainy,True,True,afternoon,False,False,0,0.2824
urban,2,0.4286,45,night,clear,True,False,morning,False,True,2,0.2737
urban,4,0.3135,35,daylight,rainy,True,True,evening,False,False,7,0.3339
rural,3,0.4064,35,night,rainy,True,False,morning,False,True,8,0.5431
urban,3,0.0628,45,daylight,clear,True,True,afternoon,False,False,2,0.1624
urban,2,0.3631,25,dim,clear,True,True,morning,False,False,7,0.2661
rural,6,0.3222,60,dim,rainy,True,True,afternoon,False,False,5,0.3535
rural,1,0.146,45,dim,clear,False,True,morning,False,False,2,0.3032
rural,3,0.0404,60,daylight,rainy,True,True,afternoon,False,False,10,0.4034
urban,1,0.3762,45,daylight,clear,True,False,afternoon,False,True,8,0.2461
rural,5,0.4577,60,night,clear,True,True,morning,False,True,4,0.4297
urban,1,0.3935,45,dim,clear,True,True,afternoon,False,True,4,0.2511
urban,6,0.1319,60,night,clear,True,True,afternoon,False,False,0,0.2909
rural,5,0.3491,35,daylight,rainy,True,True,morning,False,True,7,0.3499
rural,5,0.3262,25,night,clear,True,True,morning,False,False,5,0.3394
highway,3,0.1578,35,daylight,clear,True,True,afternoon,False,False,6,0.2671
rural,5,0.3952,45,night,clear,True,True,afternoon,False,True,7,0.5046
rural,1,0.1592,35,daylight,clear,True,True,afternoon,False,False,1,0.245
urban,4,0.202,45,daylight,rainy,True,True,morning,False,True,10,0.3234
urban,6,0.0743,45,daylight,clear,False,True,afternoon,False,False,3,0.2163
urban,1,0.5489,70,daylight,clear,True,True,afternoon,False,False,8,0.3354
urban,2,0.5909,25,dim,clear,True,True,evening,False,True,10,0.3476
highway,2,0.2426,70,night,clear,True,True,afternoon,False,True,0,0.3764
urban,1,0.3752,45,dim,clear,True,True,evening,False,False,1,0.3125
highway,2,0.1721,35,daylight,rainy,True,True,evening,False,False,0,0.3063
rural,4,0.309,45,night,clear,False,False,afternoon,False,False,4,0.3809
rural,2,0.6058,35,dim,rainy,True,False,morning,False,False,6,0.4379
rural,3,0.4671,25,dim,clear,False,True,afternoon,False,True,2,0.4036
rural,4,0.238,45,daylight,clear,False,True,evening,False,False,3,0.3812
rural,3,0.1372,45,daylight,clear,True,True,evening,False,False,4,0.2349
urban,3,0.2508,45,night,clear,True,True,afternoon,False,False,0,0.1572
rural,4,0.0681,35,daylight,foggy,False,True,morning,False,False,6,0.4174
urban,6,0.187,45,night,clear,True,True,evening,False,False,0,0.2467
urban,3,0.4147,35,night,clear,True,True,evening,False,False,0,0.2869
rural,2,0.4848,45,daylight,rainy,True,True,morning,False,False,5,0.3201
urban,1,0.122,35,daylight,clear,True,False,afternoon,False,True,5,0.1386
highway,4,0.2645,60,daylight,rainy,True,True,afternoon,False,True,8,0.4376
highway,1,0.2615,25,daylight,rainy,True,True,morning,False,False,10,0.3565
highway,4,0.3663,70,dim,clear,True,True,evening,False,False,4,0.4219
urban,4,0.24,35,dim,clear,True,True,afternoon,False,True,1,0.1637
urban,3,0.6495,45,daylight,rainy,True,True,morning,False,False,5,0.2986
highway,1,0.0543,35,daylight,clear,True,True,morning,False,True,2,0.1459
urban,6,0.5746,35,dim,foggy,True,True,morning,False,True,3,0.325
highway,2,0.2297,35,night,clear,True,True,afternoon,False,True,0,0.2747
highway,1,0.0633,45,dim,clear,True,False,morning,False,False,2,0.2916
highway,4,0.2132,70,daylight,clear,True,True,afternoon,False,True,2,0.2635
urban,2,0.0362,60,night,clear,False,False,afternoon,False,False,3,0.3618
urban,3,0.095,35,dim,clear,True,True,morning,True,False,0,0.0963
highway,2,0.354,45,daylight,foggy,True,True,evening,False,True,8,0.5172
urban,2,0.3997,45,dim,clear,False,True,morning,False,True,4,0.3463
urban,1,0.0594,25,daylight,clear,True,True,morning,False,False,6,0.082
rural,4,0.4886,45,dim,clear,True,True,evening,False,False,2,0.4181
highway,4,0.3392,70,night,clear,True,True,morning,False,True,2,0.4376
rural,4,0.5605,70,dim,clear,True,True,afternoon,False,True,3,0.3775
rural,5,0.0653,45,daylight,clear,False,True,morning,False,False,0,0.1665
urban,3,0.0333,35,daylight,clear,True,True,morning,False,True,3,0.1785
rural,1,0.2156,70,daylight,foggy,True,True,afternoon,False,False,4,0.4381
highway,4,0.2534,60,daylight,rainy,True,True,morning,False,False,8,0.4374
urban,2,0.5702,25,dim,clear,True,False,afternoon,False,False,3,0.2739
rural,5,0.1762,35,night,clear,True,True,evening,False,True,3,0.4327
highway,3,0.3604,35,daylight,clear,True,True,evening,False,True,2,0.4018
rural,4,0.4329,45,dim,clear,True,True,evening,False,True,10,0.4797
rural,5,0.1123,35,daylight,rainy,True,True,evening,False,True,0,0.3457
rural,3,0.2751,35,night,rainy,True,True,afternoon,False,True,9,0.4145
urban,6,0.35,60,night,clear,True,True,afternoon,True,True,0,0.3453
urban,6,0.1794,60,daylight,rainy,True,True,afternoon,False,False,8,0.33
highway,2,0.4098,45,dim,rainy,True,True,evening,True,True,0,0.4479
highway,5,0.4239,35,daylight,clear,True,True,evening,False,False,3,0.402
highway,1,0.0957,35,daylight,foggy,False,True,morning,False,False,4,0.3492
highway,3,0.3873,45,daylight,rainy,False,True,morning,False,True,0,0.4151
rural,5,0.4243,35,daylight,clear,True,True,morning,False,True,3,0.3138
rural,5,0.157,60,dim,clear,True,True,evening,False,False,7,0.398
rural,3,0.1709,45,night,clear,True,False,evening,False,False,4,0.3618
rural,5,0.2034,35,dim,clear,True,True,afternoon,False,True,5,0.2746
rural,5,0.3654,35,dim,clear,True,True,morning,False,False,5,0.3283
rural,3,0.656,45,night,clear,False,True,evening,True,False,6,0.5974
highway,2,0.4686,45,daylight,foggy,True,True,afternoon,False,False,6,0.4318
urban,6,0.5683,25,dim,rainy,True,True,morning,False,False,0,0.3364
urban,1,0.335,45,daylight,clear,True,True,afternoon,False,False,8,0.2653
urban,3,0.3847,70,daylight,clear,True,True,morning,False,True,7,0.2377
rural,4,0.278,70,daylight,rainy,True,True,evening,False,True,5,0.4276
urban,5,0.6257,60,night,clear,False,True,afternoon,True,False,5,0.3947
rural,1,0.4333,45,night,clear,False,False,afternoon,False,True,3,0.4466
rural,1,0.3127,25,daylight,rainy,True,False,morning,False,False,0,0.2725
urban,3,0.066,45,daylight,rainy,True,True,afternoon,False,False,2,0.1345
rural,4,0.3783,60,dim,rainy,True,True,afternoon,False,True,7,0.4511
urban,4,0.0964,45,dim,foggy,True,True,afternoon,False,False,3,0.3296
urban,2,0.2984,45,daylight,clear,True,False,afternoon,False,True,10,0.2497
highway,4,0.1435,25,daylight,clear,True,True,morning,False,False,3,0.2025
urban,6,0.1578,60,night,clear,True,True,evening,False,False,8,0.3529
urban,3,0.1889,60,daylight,clear,True,True,morning,True,False,10,0.2896
rural,1,0.5018,45,daylight,clear,False,True,morning,True,False,9,0.4173
rural,1,0.7501,60,night,rainy,True,True,afternoon,False,False,8,0.5336
urban,4,0.2088,45,daylight,clear,True,True,afternoon,False,False,5,0.2291
rural,5,0.1346,45,dim,rainy,True,True,morning,False,True,6,0.3432
urban,6,0.3413,25,night,clear,True,True,afternoon,False,True,4,0.2758
urban,2,0.0579,35,night,clear,True,True,afternoon,False,True,10,0.2669
rural,4,0.2819,35,daylight,clear,True,True,morning,False,False,1,0.2101
rural,6,0.7601,70,daylight,clear,True,True,afternoon,False,True,9,0.4964
rural,3,0.2544,70,daylight,clear,True,True,evening,True,False,2,0.343
rural,2,0.4,45,night,clear,False,True,afternoon,False,False,0,0.4219
highway,6,0.4712,25,daylight,rainy,False,True,afternoon,False,False,3,0.4282
rural,4,0.3653,25,daylight,rainy,False,True,afternoon,False,True,1,0.334
urban,2,0.1616,35,night,clear,True,True,morning,False,True,4,0.2994
rural,5,0.0632,35,daylight,rainy,False,True,afternoon,False,True,8,0.3152
urban,3,0.3651,35,dim,rainy,True,True,evening,False,False,9,0.3992
urban,4,0.5826,25,night,rainy,True,True,morning,True,False,5,0.3966
urban,1,0.0731,45,dim,clear,True,True,morning,False,True,4,0.1174
urban,3,0.6231,35,night,foggy,True,True,afternoon,False,False,9,0.3763
highway,5,0.3857,45,daylight,clear,True,True,morning,False,False,8,0.3395
highway,6,0.4149,60,daylight,rainy,True,True,afternoon,False,True,3,0.3597
rural,5,0.0376,45,daylight,clear,True,True,evening,False,False,8,0.276
urban,1,0.3853,45,daylight,rainy,True,True,afternoon,False,False,1,0.1939
urban,3,0.1916,45,daylight,clear,True,True,evening,False,True,8,0.2809
urban,4,0.4897,60,daylight,foggy,False,True,afternoon,False,True,10,0.4806
urban,1,0.5802,25,dim,clear,False,False,evening,False,True,1,0.3215
rural,4,0.4335,45,night,rainy,False,False,morning,True,False,3,0.5026
rural,2,0.4066,25,daylight,clear,True,True,evening,False,True,10,0.3743
rural,4,0.2309,45,daylight,clear,True,True,evening,False,False,0,0.2422
urban,2,0.2451,70,daylight,rainy,True,True,afternoon,False,False,7,0.3451
highway,4,0.2997,35,daylight,rainy,True,True,evening,False,False,6,0.4329
rural,2,0.0998,35,daylight,rainy,True,True,afternoon,False,True,10,0.3582
rural,3,0.1165,25,night,clear,True,False,afternoon,False,True,2,0.2963
rural,5,0.3444,45,night,rainy,True,True,morning,False,True,6,0.4268
urban,3,0.1577,35,daylight,clear,False,True,morning,False,False,8,0.224
urban,1,0.1104,70,daylight,foggy,True,True,evening,False,False,2,0.2642
urban,3,0.2587,45,dim,foggy,True,True,evening,False,False,7,0.3667
rural,3,0.4517,35,daylight,rainy,True,True,evening,False,False,6,0.3589
urban,5,0.3409,45,night,clear,True,True,morning,False,False,4,0.2184
urban,6,0.1837,35,dim,foggy,True,False,morning,False,False,0,0.2871
urban,3,0.1846,35,daylight,rainy,True,True,morning,False,True,9,0.2305
urban,1,0.3596,45,dim,clear,True,True,afternoon,False,True,4,0.2184
highway,3,0.2658,35,daylight,clear,True,False,afternoon,False,False,7,0.3319
rural,3,0.2315,45,dim,clear,True,False,evening,False,False,5,0.3612
rural,3,0.4975,35,daylight,clear,True,True,evening,False,False,4,0.4245
urban,3,0.4512,45,daylight,foggy,True,True,afternoon,False,True,6,0.2782
rural,5,0.1879,35,daylight,rainy,True,True,afternoon,False,False,9,0.3198
rural,5,0.5247,45,daylight,clear,True,True,evening,False,True,3,0.3433
urban,1,0.526,45,daylight,clear,False,True,afternoon,False,False,10,0.3124
urban,6,0.5906,60,night,clear,True,True,morning,False,True,0,0.3328
urban,1,0.2629,45,night,clear,True,True,evening,False,False,3,0.2919
rural,1,0.5218,45,daylight,rainy,True,True,evening,False,False,3,0.2818
rural,6,0.2793,60,daylight,clear,True,True,morning,False,False,5,0.3516
urban,3,0.2495,35,dim,clear,True,True,evening,False,True,7,0.2999
urban,6,0.5674,45,night,rainy,True,True,afternoon,True,False,10,0.4494
rural,4,0.1401,60,dim,clear,True,False,afternoon,False,False,10,0.3685
rural,3,0.287,25,daylight,clear,True,True,evening,False,False,0,0.1855
highway,4,0.1349,45,dim,foggy,False,True,afternoon,False,False,0,0.4501
rural,1,0.4607,35,daylight,rainy,True,True,afternoon,False,False,5,0.306
urban,3,0.3439,45,daylight,clear,True,True,evening,False,False,8,0.2955
urban,6,0.4689,45,daylight,clear,False,True,morning,False,False,0,0.2642
rural,6,0.6272,35,night,clear,True,True,afternoon,False,True,1,0.3888
urban,6,0.1312,35,night,clear,True,True,morning,False,False,10,0.3438
rural,6,0.2779,25,dim,clear,False,True,morning,False,False,1,0.2941
highway,1,0.3136,45,daylight,clear,True,True,morning,False,True,10,0.3235
rural,5,0.1043,45,night,rainy,True,True,afternoon,True,False,1,0.4016
urban,1,0.218,45,daylight,clear,True,True,afternoon,False,False,5,0.1928
rural,3,0.1522,35,night,clear,False,True,afternoon,False,False,5,0.4271
rural,5,0.5421,60,dim,clear,True,True,afternoon,False,True,8,0.4399
rural,6,0.4598,35,night,clear,False,True,evening,False,True,8,0.5174
highway,5,0.1988,35,dim,rainy,False,False,afternoon,False,True,7,0.479
urban,4,0.225,70,daylight,clear,True,True,evening,True,False,5,0.2914
highway,2,0.1498,45,night,clear,True,True,morning,False,False,4,0.3262
highway,5,0.4861,45,daylight,clear,True,True,evening,False,False,4,0.3035
urban,2,0.2369,35,dim,clear,False,True,afternoon,False,False,0,0.1846
urban,1,0.3554,45,night,clear,True,True,morning,False,True,2,0.3018
urban,1,0.4305,25,night,foggy,True,True,morning,False,False,10,0.3769
